Linux 4.15.0-121-generic (node1.pango-4.cloudslostore-pg0.utah.cloudlab.us) 	11/30/2020 	_x86_64_	(20 CPU)

12:40:52 AM   UID       PID   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
12:45:50 AM 20001      7331      0.00  16584.00      0.00       0  mongod
12:45:51 AM 20001      7331      0.00  39684.00      0.00       0  mongod
12:45:52 AM 20001      7331      0.00  30464.00      0.00       0  mongod
12:45:53 AM 20001      7331      0.00  49108.00      0.00       0  mongod
12:45:54 AM 20001      7331      0.00 163788.00      0.00       0  mongod
12:45:55 AM 20001      7331      0.00   7528.00      0.00       0  mongod
12:45:56 AM 20001      7331      0.00  18940.00      0.00       0  mongod
12:45:57 AM 20001      7331      0.00  18876.00      0.00       0  mongod
12:45:58 AM 20001      7331      0.00  20044.00      0.00       0  mongod
12:45:59 AM 20001      7331      0.00  19224.00      0.00       0  mongod
12:46:00 AM 20001      7331      0.00  25560.00      0.00       0  mongod
12:46:01 AM 20001      7331      0.00  21128.00      0.00       0  mongod
12:46:02 AM 20001      7331      0.00  61132.00      0.00       0  mongod
12:46:03 AM 20001      7331      0.00  21652.00      0.00       0  mongod
12:46:04 AM 20001      7331      0.00 203996.00      0.00       0  mongod
12:46:05 AM 20001      7331      0.00  18396.00      0.00       0  mongod
12:46:06 AM 20001      7331      0.00  18760.00      0.00       0  mongod
12:46:07 AM 20001      7331      0.00  19244.00      0.00       0  mongod
12:46:08 AM 20001      7331      0.00  19620.00      0.00       0  mongod
12:46:09 AM 20001      7331      0.00  19600.00      0.00       0  mongod
12:46:10 AM 20001      7331      0.00 108656.00      0.00       0  mongod
12:46:11 AM 20001      7331      0.00  17208.00      0.00       0  mongod
12:46:12 AM 20001      7331      0.00  18032.00      0.00       0  mongod
12:46:13 AM 20001      7331      0.00  37848.00      0.00       0  mongod
12:46:14 AM 20001      7331      0.00  45268.00      0.00       0  mongod
12:46:15 AM 20001      7331      0.00 153812.00      0.00       0  mongod
12:46:16 AM 20001      7331      0.00 359916.00      0.00       0  mongod
12:46:17 AM 20001      7331      0.00  29684.00      0.00       0  mongod
12:46:18 AM 20001      7331      0.00    136.00      0.00       0  mongod
12:46:19 AM 20001      7331      0.00    528.00      0.00       0  mongod
12:46:20 AM 20001      7331      0.00  19484.00      0.00       0  mongod
12:46:21 AM 20001      7331      0.00  20164.00      0.00       0  mongod
12:46:22 AM 20001      7331      0.00  27016.00      0.00       0  mongod
12:46:23 AM 20001      7331      0.00  79240.00      0.00       0  mongod
12:46:24 AM 20001      7331      0.00  21164.00      0.00       0  mongod
12:46:25 AM 20001      7331      0.00  19956.00      0.00       0  mongod
12:46:26 AM 20001      7331      0.00  47604.00      0.00       0  mongod
12:46:27 AM 20001      7331      0.00  19000.00      0.00       0  mongod
12:46:28 AM 20001      7331      0.00  18960.00      0.00       0  mongod
12:46:29 AM 20001      7331      0.00  20088.00      0.00       0  mongod
12:46:30 AM 20001      7331      0.00  18968.00      0.00       0  mongod
12:46:31 AM 20001      7331      0.00  19384.00      0.00       0  mongod
12:46:32 AM 20001      7331      0.00  30140.00      0.00       0  mongod
12:46:33 AM 20001      7331      0.00  44660.00      0.00       0  mongod
12:46:34 AM 20001      7331      0.00  20068.00      0.00       0  mongod
12:46:35 AM 20001      7331      0.00  19100.00      0.00       0  mongod
12:46:36 AM 20001      7331      0.00  35456.00      0.00       0  mongod
12:46:37 AM 20001      7331      0.00 107688.00      0.00       0  mongod
12:46:38 AM 20001      7331      0.00  20244.00      0.00       0  mongod
12:46:39 AM 20001      7331      0.00  19304.00      0.00       0  mongod
12:46:40 AM 20001      7331      0.00  48208.00     24.00       0  mongod
12:46:41 AM 20001      7331      0.00  63300.00      0.00       0  mongod
12:46:42 AM 20001      7331      0.00  19388.00      0.00       0  mongod
12:46:43 AM 20001      7331      0.00  72384.00      0.00       0  mongod
12:46:44 AM 20001      7331      0.00  18700.00      0.00       0  mongod
12:46:45 AM 20001      7331      0.00  31088.00      0.00       0  mongod
12:46:46 AM 20001      7331      0.00  53596.00      0.00       0  mongod
12:46:47 AM 20001      7331      0.00 295664.00      0.00       0  mongod
12:46:48 AM 20001      7331      0.00  19464.00      0.00       0  mongod
12:46:49 AM 20001      7331      0.00  18448.00      0.00       0  mongod
12:46:50 AM 20001      7331      0.00  19572.00      0.00       0  mongod
12:46:51 AM 20001      7331      0.00  18860.00      0.00       0  mongod
12:46:52 AM 20001      7331      0.00  19864.00      0.00       0  mongod
12:46:53 AM 20001      7331      0.00  18772.00      0.00       0  mongod
12:46:54 AM 20001      7331      0.00  19096.00      0.00       0  mongod
12:46:55 AM 20001      7331      0.00  18212.00      0.00       0  mongod
12:46:56 AM 20001      7331      0.00  10632.00      0.00       0  mongod
12:46:57 AM 20001      7331      0.00  11924.00      0.00       0  mongod
12:46:58 AM 20001      7331      0.00  35932.00      0.00       0  mongod
12:46:59 AM 20001      7331      0.00  25488.00      0.00       0  mongod
12:47:00 AM 20001      7331      0.00  19632.00      0.00       0  mongod
12:47:01 AM 20001      7331      0.00  19860.00      0.00       0  mongod
12:47:02 AM 20001      7331      0.00  18720.00      0.00       0  mongod
12:47:03 AM 20001      7331      0.00  19152.00      0.00       0  mongod
12:47:04 AM 20001      7331      0.00 141260.00      0.00       0  mongod
12:47:05 AM 20001      7331      0.00  80280.00      0.00       0  mongod
12:47:06 AM 20001      7331      0.00  19204.00      0.00       0  mongod
12:47:07 AM 20001      7331      0.00  19216.00      0.00       0  mongod
12:47:08 AM 20001      7331      0.00  19500.00      0.00       0  mongod
12:47:09 AM 20001      7331      0.00  19460.00      0.00       0  mongod
12:47:10 AM 20001      7331      0.00  19192.00      0.00       0  mongod
12:47:11 AM 20001      7331      0.00  63004.00      0.00       0  mongod
12:47:12 AM 20001      7331      0.00  17288.00      0.00       0  mongod
12:47:13 AM 20001      7331      0.00  39652.00      0.00       0  mongod
12:47:14 AM 20001      7331      0.00 329424.00      0.00       0  mongod
12:47:15 AM 20001      7331      0.00  19596.00      0.00       0  mongod
12:47:16 AM 20001      7331      0.00  19412.00      0.00       0  mongod
12:47:17 AM 20001      7331      0.00   9792.00      0.00       0  mongod
12:47:18 AM 20001      7331      0.00    116.00      0.00       0  mongod
12:47:19 AM 20001      7331      0.00  16440.00      0.00       0  mongod
12:47:20 AM 20001      7331      0.00  82716.00      0.00       0  mongod
12:47:21 AM 20001      7331      0.00 284296.00      0.00       0  mongod
12:47:22 AM 20001      7331      0.00  15616.00      0.00       0  mongod
12:47:23 AM 20001      7331      0.00    472.00      0.00       0  mongod
12:47:24 AM 20001      7331      0.00   8924.00      0.00       0  mongod
12:47:25 AM 20001      7331      0.00  19632.00      0.00       0  mongod
12:47:26 AM 20001      7331      0.00  20504.00      0.00       0  mongod
12:47:27 AM 20001      7331      0.00  19248.00      0.00       0  mongod
12:47:28 AM 20001      7331      0.00  20340.00      0.00       0  mongod
12:47:29 AM 20001      7331      0.00  19072.00      0.00       0  mongod
12:47:30 AM 20001      7331      0.00  19480.00      0.00       0  mongod
